2026/05/13 23:09:14 [emerg] 96508#96508: bind() to 0.0.0.0:8080 failed (98: Address already in use)
2026/05/13 23:09:14 [emerg] 96508#96508: bind() to 0.0.0.0:8080 failed (98: Address already in use)
2026/05/13 23:09:14 [emerg] 96508#96508: bind() to 0.0.0.0:8080 failed (98: Address already in use)
2026/05/13 23:09:14 [emerg] 96508#96508: bind() to 0.0.0.0:8080 failed (98: Address already in use)
2026/05/13 23:09:14 [emerg] 96508#96508: bind() to 0.0.0.0:8080 failed (98: Address already in use)
2026/05/13 23:09:14 [emerg] 96508#96508: still could not bind()
2026/05/13 23:09:27 [error] 96587#96587: *1 rewrite or internal redirection cycle while internally redirecting to "/api/security/nginx-block", client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", host: "localhost:8080"
2026/05/13 23:10:12 [error] 96924#96924: *1 rewrite or internal redirection cycle while internally redirecting to "/api/security/nginx-block" while sending to client, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:3001/api/security/nginx-block?reason=bot", host: "localhost:8080"
2026/05/13 23:36:54 [error] 98915#98915: *50 limiting requests, excess: 20.310 by zone "mylimit", client: 127.0.0.1, server: localhost, request: "GET /ping HTTP/1.1", host: "localhost:8080"
2026/05/13 23:36:54 [error] 98915#98915: *51 limiting requests, excess: 20.310 by zone "mylimit", client: 127.0.0.1, server: localhost, request: "GET /ping HTTP/1.1", host: "localhost:8080"
2026/05/13 23:36:54 [error] 98915#98915: *52 limiting requests, excess: 20.230 by zone "mylimit", client: 127.0.0.1, server: localhost, request: "GET /ping HTTP/1.1", host: "localhost:8080"
2026/05/13 23:36:54 [error] 98915#98915: *53 limiting requests, excess: 20.210 by zone "mylimit", client: 127.0.0.1, server: localhost, request: "GET /ping HTTP/1.1", host: "localhost:8080"
2026/05/13 23:36:54 [error] 98915#98915: *54 limiting requests, excess: 20.160 by zone "mylimit", client: 127.0.0.1, server: localhost, request: "GET /ping HTTP/1.1", host: "localhost:8080"
2026/05/13 23:36:54 [error] 98915#98915: *55 limiting requests, excess: 20.150 by zone "mylimit", client: 127.0.0.1, server: localhost, request: "GET /ping HTTP/1.1", host: "localhost:8080"
2026/05/13 23:36:54 [error] 98915#98915: *56 limiting requests, excess: 20.120 by zone "mylimit", client: 127.0.0.1, server: localhost, request: "GET /ping HTTP/1.1", host: "localhost:8080"
2026/05/13 23:36:54 [error] 98915#98915: *57 limiting requests, excess: 20.030 by zone "mylimit", client: 127.0.0.1, server: localhost, request: "GET /ping HTTP/1.1", host: "localhost:8080"
2026/05/13 23:36:54 [error] 98915#98915: *58 limiting requests, excess: 20.020 by zone "mylimit", client: 127.0.0.1, server: localhost, request: "GET /ping HTTP/1.1", host: "localhost:8080"
